Frame,Lat,Lon,Altitude_m,Yaw_deg,Pitch_deg,Roll_deg
1,28.7503776,77.1133756,-0.05,274.06,-0.38,-1.05
2,28.7503776,77.1133756,-0.05,274.06,-0.38,-1.05
3,28.7503776,77.1133756,-0.05,274.06,-0.38,-1.05
4,28.7503775,77.1133759,-0.03,274.06,-0.37,-1.06
5,28.7503775,77.1133759,-0.03,274.06,-0.37,-1.06
6,28.7503775,77.1133759,-0.03,274.06,-0.37,-1.06
7,28.7503775,77.1133759,-0.03,274.06,-0.37,-1.06
8,28.7503775,77.1133759,-0.03,274.06,-0.37,-1.06
9,28.7503775,77.1133759,-0.03,274.06,-0.37,-1.06
10,28.7503775,77.1133759,-0.03,274.06,-0.37,-1.06
11,28.7503775,77.1133759,-0.03,274.06,-0.37,-1.06
12,28.7503774,77.1133759,-0.02,274.22,-0.36,-1.09
13,28.7503774,77.1133759,-0.02,274.22,-0.36,-1.09
14,28.7503774,77.1133759,-0.02,274.22,-0.36,-1.09
15,28.7503774,77.1133759,-0.02,274.22,-0.36,-1.09
16,28.7503774,77.1133759,-0.02,274.22,-0.36,-1.09
17,28.7503774,77.1133759,-0.02,274.22,-0.36,-1.09
18,28.7503774,77.1133759,-0.02,274.22,-0.36,-1.09
19,28.7503772,77.1133759,-0.01,274.32,-0.4,-1.12
20,28.7503772,77.1133759,-0.01,274.32,-0.4,-1.12
21,28.7503772,77.1133759,-0.01,274.32,-0.4,-1.12
22,28.7503772,77.1133759,-0.01,274.32,-0.4,-1.12
23,28.7503772,77.1133759,-0.01,274.32,-0.4,-1.12
24,28.7503772,77.1133759,-0.01,274.32,-0.4,-1.12
25,28.7503772,77.1133759,-0.01,274.32,-0.4,-1.12
26,28.7503772,77.1133759,-0.01,274.32,-0.4,-1.12
27,28.7503771,77.1133759,-0.01,274.24,-0.41,-1.14
28,28.7503771,77.1133759,-0.01,274.24,-0.41,-1.14
29,28.7503771,77.1133759,-0.01,274.24,-0.41,-1.14
30,28.7503771,77.1133759,-0.01,274.24,-0.41,-1.14
31,28.7503771,77.1133759,-0.01,274.24,-0.41,-1.14
32,28.7503771,77.1133759,-0.01,274.24,-0.41,-1.14
33,28.7503771,77.1133759,-0.01,274.24,-0.41,-1.14
34,28.750377,77.1133759,-0.01,274.35,-0.42,-1.15
35,28.750377,77.1133759,-0.01,274.35,-0.42,-1.15
